program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,table_title,section,subsection,period_type,period_start_year,period_end_year,period_label,source_row,source_column
USDA Farm Programs,ARC-IC,2028,0.2,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / ARC-IC,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2028,2028,2028,1236,8
USDA Farm Programs,ARC-IC,2029,0.2,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / ARC-IC,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2029,2029,2029,1236,9
USDA Farm Programs,ARC-IC,2030,0.2,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / ARC-IC,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2030,2030,2030,1236,10
USDA Farm Programs,ARC-IC,2031,0.2,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / ARC-IC,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2031,2031,2031,1236,11
USDA Farm Programs,ARC-IC,2032,0.2,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / ARC-IC,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2032,2032,2032,1236,12
USDA Farm Programs,ARC-IC,2033,0.2,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / ARC-IC,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2033,2033,2033,1236,13
USDA Farm Programs,ARC-IC,2034,0.2,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / ARC-IC,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2034,2034,2034,1236,14
USDA Farm Programs,Base Acres,2022,8.3,Millions,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Acreage / Base Acres,SORGHUM SUPPLY AND USE,Acreage,,fiscal_year,2022,2022,2022,1239,2
USDA Farm Programs,Base Acres,2023,8.5,Millions,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Acreage / Base Acres,SORGHUM SUPPLY AND USE,Acreage,,fiscal_year,2023,2023,2023,1239,3
USDA Farm Programs,Base Acres,2024,8.5,Millions,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Acreage / Base Acres,SORGHUM SUPPLY AND USE,Acreage,,fiscal_year,2024,2024,2024,1239,4
USDA Farm Programs,Base Acres,2025,8.5,Millions,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Acreage / Base Acres,SORGHUM SUPPLY AND USE,Acreage,,fiscal_year,2025,2025,2025,1239,5
USDA Farm Programs,Base Acres,2026,8.5,Millions,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Acreage / Base Acres,SORGHUM SUPPLY AND USE,Acreage,,fiscal_year,2026,2026,2026,1239,6
USDA Farm Programs,Base Acres,2027,8.5,Millions,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Acreage / Base Acres,SORGHUM SUPPLY AND USE,Acreage,,fiscal_year,2027,2027,2027,1239,7
USDA Farm Programs,Base Acres,2028,8.5,Millions,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Acreage / Base Acres,SORGHUM SUPPLY AND USE,Acreage,,fiscal_year,2028,2028,2028,1239,8
USDA Farm Programs,Base Acres,2029,8.5,Millions,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Acreage / Base Acres,SORGHUM SUPPLY AND USE,Acreage,,fiscal_year,2029,2029,2029,1239,9
USDA Farm Programs,Base Acres,2030,8.5,Millions,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Acreage / Base Acres,SORGHUM SUPPLY AND USE,Acreage,,fiscal_year,2030,2030,2030,1239,10
USDA Farm Programs,Base Acres,2031,8.5,Millions,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Acreage / Base Acres,SORGHUM SUPPLY AND USE,Acreage,,fiscal_year,2031,2031,2031,1239,11
USDA Farm Programs,Base Acres,2032,8.5,Millions,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Acreage / Base Acres,SORGHUM SUPPLY AND USE,Acreage,,fiscal_year,2032,2032,2032,1239,12
USDA Farm Programs,Base Acres,2033,8.5,Millions,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Acreage / Base Acres,SORGHUM SUPPLY AND USE,Acreage,,fiscal_year,2033,2033,2033,1239,13
USDA Farm Programs,Base Acres,2034,8.5,Millions,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Acreage / Base Acres,SORGHUM SUPPLY AND USE,Acreage,,fiscal_year,2034,2034,2034,1239,14
USDA Farm Programs,Planted Acres,2022,6.3,Millions,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Acreage / Planted Acres,SORGHUM SUPPLY AND USE,Acreage,,fiscal_year,2022,2022,2022,1240,2
USDA Farm Programs,Planted Acres,2023,7.2,Millions,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Acreage / Planted Acres,SORGHUM SUPPLY AND USE,Acreage,,fiscal_year,2023,2023,2023,1240,3
USDA Farm Programs,Planted Acres,2024,6.8,Millions,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Acreage / Planted Acres,SORGHUM SUPPLY AND USE,Acreage,,fiscal_year,2024,2024,2024,1240,4
USDA Farm Programs,Planted Acres,2025,6.6,Millions,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Acreage / Planted Acres,SORGHUM SUPPLY AND USE,Acreage,,fiscal_year,2025,2025,2025,1240,5
